date;plate_id;plate_name;sample_id;well_A01;well_01A;tissue_id;dna_person;notes;tissue_type;extraction
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_D10;D10;10D;BGM-0085;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_D11;D11;11D;BGM-0087;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_D12;D12;12D;BGM-0088;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_E01;E01;01E;BGM-0089;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_E02;E02;02E;BGM-0090;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_E03;E03;03E;BGM-0091;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_E04;E04;04E;BGM-0096;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_E05;E05;05E;BGM-0097;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_E06;E06;06E;BGM-0098;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_E07;E07;07E;BGM-0100;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_E08;E08;08E;BGM-0106;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_E09;E09;09E;BGM-0115;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_E10;E10;10E;BGM-0116;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_E11;E11;11E;BGM-0119;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_E12;E12;12E;BGM-0120;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_F01;F01;01F;BGM-0123;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_F02;F02;02F;BGM-0124;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_F03;F03;03F;BGM-0126;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_F04;F04;04F;BGM-0130;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_F05;F05;05F;BGM-0132;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_F06;F06;06F;BGM-0133;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_F07;F07;07F;BGM-0134;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_F08;F08;08F;BGM-0135;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_F09;F09;09F;BGM-0136;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_F10;F10;10F;BGM-0137;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_F11;F11;11F;BGM-0138;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_F12;F12;12F;BGM-0140;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_G01;G01;01G;BGM-0143;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_G02;G02;02G;BGM-0144;EMBRAPA;;Leaf;
